"Id","CompetitionId","TagId"
"926","33103","13209"
"910","33103","14101"
"911","33104","14101"
"912","33105","14101"
"913","33106","14101"
"991","33107","13304"
"914","33107","14101"
"915","33108","14101"
"916","33109","14101"
"1126","33110","2507"
"1127","33110","13404"
"917","33110","14101"
"2605","33111","13305"
"918","33111","14101"
"934","33246","7302"
"933","33246","16072"
"952","33317","7302"
"951","33317","13206"
"950","33317","14102"
"923","33607","11105"
"922","33607","12028"
"930","33607","13204"
"921","33607","14104"
"957","33657","13204"
"958","33657","14104"
"931","33679","7306"
"932","33679","14102"
"956","33843","7301"
"955","33843","14102"
"962","34349","11108"
"961","34349","14101"
"941","34375","12001"
"940","34375","14102"
"942","34538","2606"
"943","34538","4141"
"945","34542","2606"
"944","34542","4141"
"981","34547","7100"
"1022","34547","13207"
"980","34547","14102"
"960","34970","13207"
"959","34970","14102"
"954","35150","14102"
"953","35150","16439"
"974","35308","13204"
"975","35308","14104"
"976","35308","16409"
"979","35332","11108"
"977","35332","14101"
"978","35332","14201"
"964","35476","7202"
"965","35476","11102"
"963","35476","14101"
"968","35779","1219"
"970","35779","12117"
"967","35779","13203"
"966","35779","13206"
"969","35779","14101"
"973","35887","12107"
"971","35887","13204"
"972","35887","14104"
"1023","36363","13207"
"994","36363","14102"
"995","36363","14201"
"992","36414","14102"
"993","36414","14202"
"1034","37077","7401"
"1035","37077","13203"
"1028","37190","7402"
"998","37244","2603"
"997","37244","4141"
"996","37244","14105"
"986","37333","12028"
"987","37333","13207"
"988","37333","13302"
"984","37333","14102"
"1007","37381","2500"
"1006","37381","2505"
"1002","37381","14211"
"7898","37794","7100"
"7897","37794","14101"
"1004","38128","4406"
"1005","38128","12005"
"1003","38128","14101"
"1037","38257","7401"
"1038","38257","7404"
"1036","38257","14101"
"1012","38321","11105"
"1011","38321","13204"
"1013","38321","16409"
"1488","38760","13311"
"1489","38760","16281"
"1689","39222","14101"
"4436","39272","14201"
"4437","39272","16686"
"1260","39585","11105"
"2109","39585","14101"
"1262","39585","16409"
"4743","40277","2603"
"4742","40277","11111"
"4751","40277","14101"
"4747","40277","14105"
"2687","40898","16151"
"14610","41875","7100"
"4469","41879","15002"
"4470","41879","16278"
"10967","41880","12028"
"10968","41880","13209"
"10969","41880","14202"
"5226","41881","11102"
"5225","41881","14101"
"13609","43873","11105"
"13608","43873","13207"
"13610","43873","14102"
"13611","43873","16409"
"12747","44224","7301"
"11373","44224","7302"
"11371","44224","14202"
"11372","44224","16072"
"7205","44629","8317"
"7214","44629","13102"
"7204","44629","14101"
"7203","44629","14203"
"7213","44630","13102"
"7207","44630","14101"
"7206","44630","14201"
"7208","44630","16378"
"7212","44631","11102"
"7210","44631","13102"
"7209","44631","14101"
"7211","44631","14201"
"7604","44632","13102"
"7602","44632","14101"
"7603","44632","14201"
"7382","45040","2507"
"7383","45040","16151"
"9950","45533","14101"
"9951","45533","14201"
"26762","45867","13302"
"26761","45867","14102"
"8538","45890","13102"
"8539","45890","14101"
"9033","45891","8317"
"8541","45891","13102"
"8542","45891","14101"
"8544","45892","13102"
"8545","45892","14101"
"8546","45892","14201"
"8547","45893","13102"
"8548","45893","14101"
"9118","45893","14203"
"8550","45894","13102"
"8551","45894","14101"
"10353","45917","14102"
"10354","45917","14104"
"10356","45917","17142"
"10730","46105","14202"
"10731","46105","17075"
"13743","46149","7000"
"13744","46149","13207"
"13746","46149","13302"
"13747","46149","14102"
"9783","46801","2606"
"9784","46801","4141"
"11504","47317","9109"
"11505","47317","16706"
"11503","47317","16717"
"11046","47789","13102"
"11047","47789","14101"
"11048","47790","13102"
"11049","47790","14101"
"12140","47790","14203"
"12776","49200","13102"
"12777","49200","14101"
"12949","49200","14201"
"12779","49201","13102"
"12780","49201","14101"
"15187","49201","14202"
"15188","49201","16378"
"14808","49349","13207"
"14809","49349","14102"
"16911","50947","1219"
"16907","50947","12101"
"16910","50947","12107"
"16908","50947","13310"
"25899","51294","2507"
"25896","51294","7100"
"25898","51294","7402"
"25897","51294","12005"
"25900","51294","14203"
"15770","51753","7408"
"15766","51753","13207"
"15697","51959","13102"
"15698","51959","14101"
"37237","51959","14203"
"17386","51982","7404"
"15739","51982","13102"
"15740","51982","14101"
"17998","51983","7301"
"15741","51983","13102"
"15742","51983","14101"
"17997","51983","14203"
"16002","52254","13207"
"16003","52254","14102"
"16594","52279","11111"
"16595","52279","16717"
"17068","52324","16072"
"17069","52324","16683"
"17070","52324","16721"
"17067","52324","16866"
"16556","52732","7408"
"16557","52732","13209"
"16772","52784","11111"
"16770","52784","14101"
"16771","52784","14201"
"16819","52950","17075"
"17382","53376","13102"
"17383","53376","14101"
"17384","53377","13102"
"17385","53377","14101"
"20624","53377","14201"
"20725","53377","16636"
"17446","53482","11105"
"17447","53482","13204"
"17448","53482","16409"
"22765","53666","11111"
"22766","53666","13209"
"22767","53666","14202"
"21878","54662","7404"
"21879","54662","13204"
"25727","56167","1219"
"25728","56167","13310"
"21835","57094","13102"
"22077","57094","13209"
"21836","57094","14101"
"21837","57095","13102"
"23671","57095","13209"
"21838","57095","14101"
"26035","57818","2500"
"26034","57818","2505"
"26033","57818","14211"
"25750","57891","11108"
"25749","57891","14101"
"25451","58266","12101"
"25458","58266","16574"
"25454","58266","17145"
"25928","58266","17148"
"25929","58266","17149"
"24727","59094","4406"
"24728","59094","12005"
"24751","59094","14101"
"24752","59109","13102"
"24866","59109","13202"
"24754","59109","14101"
"26247","59110","7301"
"26248","59110","11111"
"24755","59110","13102"
"24757","59110","14101"
"26246","59110","14202"
"25053","59291","11105"
"25054","59291","13204"
"25055","59291","16409"
"25951","60243","2507"
"25952","60243","16151"
"26550","60890","13102"
"26552","60890","14101"
"26941","60890","14201"
"26943","60891","11111"
"26553","60891","13102"
"26555","60891","14101"
"26942","60891","14201"
"29290","60892","7200"
"26556","60892","13102"
"26558","60892","14101"
"29289","60892","14203"
"26559","60893","13102"
"26560","60893","13209"
"26561","60893","14101"
"27037","61446","11111"
"28909","61446","13207"
"27038","61446","16717"
"27137","61542","11105"
"28063","61542","14201"
"27139","61542","16409"
"28064","61542","16696"
"30405","65704","15002"
"30406","65704","16278"
"31419","65711","11129"
"30414","65711","13102"
"30415","65711","14101"
"31418","65711","14201"
"33120","68479","13102"
"33121","68479","13209"
"33122","68479","14101"
"37238","68479","14202"
